node_id,node_type,segment_id,role,workflow_name,characteristic,prompt,pain_point_need,artifacts,keywords_phrases,outcomes,prompt_flexibility,instruction_with_example,example_straightforward,example_complex,example_enterprise
PRODM_WF_001,TASK_TEMPLATE,PRODUCT_MANAGEMENT,PRODM,Define Feature Need,Defines product direction,Define feature goals and draft vision,Unclear goals misalign teams,Feature Brief,"feature,vision,strategy,product","Launch,Innovate",High: User sets goals,"Write a feature vision and upload it. Example: A document describing a chat feature, like 'Enable instant team communication.'",Define chat feature for team app,Define health app feature,Define global SaaS chat module"
PRODM_WF_002,TASK_TEMPLATE,PRODUCT_MANAGEMENT,PRODM,Review Vision Alignment,Validates vision,Review vision alignment,Unapproved vision risks misalignment,"Approved Vision,Feedback Notes","review,vision,alignment,stakeholders","Launch,Innovate",Medium: User adds feedback,"Review vision document, provide feedback, and approve/reject. Example: Approve a chat feature vision with notes.",Approve chat feature vision,Approve health app vision,Approve global platform vision"
PRODM_WF_002a,TASK_TEMPLATE,PRODUCT_MANAGEMENT,PRODM,Approve Market Positioning,Approves positioning strategy,Review and approve market positioning recommendations,Unapproved positioning delays market entry,"Approved Positioning,Strategic Direction","positioning,approval,market,strategy","Launch,Innovate",Medium: User provides approval,"Review positioning analysis and provide strategic approval. Example: Approve chat app positioning in team collaboration market.",Approve chat positioning,Approve health positioning,Approve enterprise positioning"
PRODM_WF_003,TASK_TEMPLATE,PRODUCT_MANAGEMENT,PRODM,Review Positioning Validation,Validates positioning,Review market positioning validation,Unapproved positioning risks market fit,"Approved Positioning,Feedback Notes","review,positioning,validation,market","Launch,Innovate",Medium: User provides input,"Review market positioning report, provide feedback, and approve/reject. Example: Approve a chat feature edge report.",Approve chat feature positioning,Approve health app positioning,Approve global platform differentiation"
PRODM_WF_004,TASK_TEMPLATE,PRODUCT_MANAGEMENT,PRODM,Market Research,Conducts market analysis,Research market opportunities and competitive landscape,Insufficient market research risks poor positioning,"Market Research Report,Competitive Analysis","market,research,competitive,analysis","Launch,Innovate",High: User defines scope,"Conduct comprehensive market research and competitive analysis. Example: Research team collaboration tools market for chat feature.",Research chat market,Research health tech market,Research enterprise software market"
PRODM_WF_010,TASK_TEMPLATE,PRODUCT_MANAGEMENT,PRODM,Customer Discovery Leadership,Leads customer discovery efforts,Lead cross-functional customer discovery initiatives,Poor customer understanding leads to failed products,"Customer Insights,Discovery Plan","customer,discovery,insights,leadership","Launch,Innovate",High: User drives discovery,"Lead customer discovery efforts across teams. Example: Coordinate customer interviews for chat feature validation.",Lead chat discovery,Lead health discovery,Lead enterprise discovery"
BSA_WF_001,TASK_TEMPLATE,PRODUCT_MANAGEMENT,BSA,Technical Requirements Specification,Translates business needs to technical specs,Translate Business Requirements to technical specifications,Business requirements lack technical detail,"Technical Requirements,Detailed User Stories","technical,requirements,specifications,system","Launch,Develop",Medium: User provides details,"Create technical specifications from business requirements. Example: Convert 'Users need chat' to API specifications.",Create chat API specs,Create health data processing specs,Create enterprise integration specifications"
BSA_WF_002,TASK_TEMPLATE,PRODUCT_MANAGEMENT,BSA,System Process Flow Design,Designs system workflows,Design system process flows and architecture,Unclear system processes cause integration issues,System Flow Diagrams,"system,process,flow,architecture","Launch,Develop",High: User defines approach,"Design system process flows and upload diagrams. Example: Chat message routing and storage flows.",Design chat message flows,Design health data flows,Design enterprise workflow orchestration"
BSA_WF_003,TASK_TEMPLATE,PRODUCT_MANAGEMENT,BSA,Technical Architecture Review,Reviews technical approaches,Review and validate technical architecture decisions,Poor architecture causes scalability issues,"Architecture Review,Technical Recommendations","architecture,review,technical,validation","Launch,Develop",Medium: User validates approach,"Review technical architecture and provide recommendations. Example: Validate chat system scalability approach.",Review chat architecture,Review health architecture,Review enterprise architecture"
BSA_WF_010,TASK_TEMPLATE,PRODUCT_MANAGEMENT,BSA,Customer Technical Discovery,Discovers technical requirements,Identify technical requirements through customer discovery,Missing technical requirements cause development issues,"Technical Requirements,Customer Insights","technical,discovery,requirements,customer","Launch,Develop",High: User drives technical discovery,"Discover technical requirements through customer engagement. Example: Understand chat integration requirements.",Discover chat tech needs,Discover health tech needs,Discover enterprise tech needs"
